objectid,filename,youtubeid,title,creator,date,description,subject,location,latitude,longitude,identifier,source,type,format,language,rights,rightsstatement
64,deniz.pdf,,İktisat ve Deniz Ticaret Tarihinde Doğu Akdeniz ve Mersin’e Nasıl Yaklaşılmalı?,Digital Ottoman Studies,2011,İktisat ve Deniz Ticaret Tarihinde Doğu Akdeniz ve Mersin’e Nasıl Yaklaşılmalı?,Bildiri;İktisat;Ticaret;Deniz Ticareti;Akdeniz;Tarihçilik;Şehirler;Mersin,Mersin;Mersin Üniversitesi,36.88131219,34.57471452,MG-64,"Fevzi Demir ed. Açılış Konuşması, Türk Deniz Ticareti Tarihi Sempozyumu III Mersin ve Doğu Akdeniz 7-8 Nisan 2011, Bildiriler Kitabı, Mersin Üniversitesi, 8-12",Döküman,application/pdf,tr,http://arkeoloji.uludag.edu.tr/documents/mustafa/deniz%20ticareti%20sempozyumu%203.pdf,
65,ahi.jpg,,Osmanlı Esnafı ve Devletle İlişkileri,Digital Ottoman Studies,1986,Osmanlı Esnafı ve Devletle İlişkileri,Bildiri;Ticaret;Esnaf;Devlet,İstanbul,41.1292562,28.88335172,MG-65,"Ahilik ve Esnaf: Konferanslar ve Seminer, Metinler-Tartışmalar, İstanbul Esnaf ve Sanatkarlar Dernekleri Birliği Yayınları, 113-124",Görüntü,image/jpg,tr,https://www.istesob.org.tr/konu/basin-yayin/akademik-yayinlarimiz/,
66,ıtri.pdf,,Osmanlı’da 17. Yüzyılın Sosyal ve Siyasal Yapısında Değişmeler,Digital Ottoman Studies,2013,Osmanlı’da 17. Yüzyılın Sosyal ve Siyasal Yapısında Değişmeler,Bildiri;Toplum;Devlet;Yüzyıllar;17.Yy,İstanbul,41.1292562,28.88335172,MG-66,"Itri ve Dönemine Disiplinlerarası Bakışlar, İKSV ve OMAR, 13-18",Döküman,application/pdf,tr,https://www.academia.edu/7838793/Osmanlıda_17_yüzyılın_Sosyal_ve_Siyasal_Yapısında_Değişmeler,
67,erol.jpg,,Örnek Bir Aydın Olarak Erol Güngör,Digital Ottoman Studies,2009,Örnek Bir Aydın Olarak Erol Güngör,Bildiri;Kişiler;Erol Güngör,İstanbul,41.1292562,28.88335172,MG-67,"Kültür Ocağında Bir Mütefekkir Erol Güngör, Koçav Yayınları,231-234 ",Görüntü,image/jpg,tr,http://www.kocav.org.tr/page/kocav-yayincilik,
68,trend.jpg,,"Ottoman Industry in the Eighteenth Century: General Framework, Characteristics, and Main Trends",Digital Ottoman Studies,1994-08,"Ottoman Industry in the Eighteenth Century: General Framework, Characteristics, and Main Trends",Bildiri;İktisat;Sanayii;Yüzyıllar;18.Yy,"ABD,New York;Suny Press",42.6504447,-73.75279178,MG-68,"Donald Quataert ed., Manufacturing in the Ottoman Empire and Turkey, 1500-1950, New York;Suny Press",Görüntü,image/jpg,eng,https://www.sunypress.edu,
69,bildiri.jpg,,Ömer Lütfi Barkan,Digital Ottoman Studies,2011,Ömer Lütfi Barkan,Bildiri;Kişiler;Ömer Lütfi Barkan,Ankara;TTK,39.93111335,32.85618695,MG-69,"Mehmet Öz ed., Cumhuriyet Döneminde Türkiye`de Tarihçilik ve Tarih Yayıncılığı Sempozyumu (Bildiriler), Türk Tarih Kurumu Yayınları, 18-20 Mart 2010",Görüntü,image/jpg,tr,https://www.ttk.gov.tr/en/,
70,bildiri.jpg,,Osmanlı Maliyesinde Malikâne Sistemi,Digital Ottoman Studies,1975,Osmanlı Maliyesinde Malikâne Sistemi,Bildiri;İktisat;Maliye;Vergi;Malikane Sistemi,Ankara,39.9753847,32.75741589,MG-70,"Osman Okyar-Ünal Nalbantoğlu ed., Türkiye İktisat Tarihi Semineri, Metinler/Tartışmalar (8-l0 Temmuz 1973), Hacettepe Üniversitesi Yayınları, 231-296",Görüntü,image/jpg,tr,http://www.library.hacettepe.edu.tr/books/,
71,bildiri.jpg,,Aya Mavra in the Beginning of the Eighteenth Century,Digital Ottoman Studies,1996,Aya Mavra in the Beginning of the Eighteenth Century,Bildiri;Şehirler;Aya Mavra;Yüzyıllar;18.Yy,"Yunanistan,Atina",38.03419954,23.74015979,MG-71,"From the Local to Global History. The Xemple of Lefkada, 15-19th centuries, Proceedings of IV Conference of Ionian Islands Civilization (Aya Mavra 8-12 Sept. 1993), Conference dedicated to Panos G. Rontoyannis, 65-74",Görüntü,image/jpg,gre,,
72,bildiri.jpg,,Osmanlı Dünyasında Dilencilik,Digital Ottoman Studies,2008,Osmanlı Dünyasında Dilencilik,Bildiri;Toplum;Dilencilik,İstanbul,41.1292562,28.88335172,MG-72,"Suvat Parin ed., Bir Kent Sorunu: Dilencilik Tebliğler Kitabı, İBB Zabıta Daire Başkanlığı, 13-15",Görüntü,image/jpg,tr,https://zabita.ibb.gov.tr,
73,bildiri.jpg,,XV. ve XVI Yüzyıllarda Osmanlı Devleti’nin İç ve Dış Ticareti,Digital Ottoman Studies,1997,XV. ve XVI Yüzyıllarda Osmanlı Devleti’nin İç ve Dış Ticareti,Bildiri;Ticaret;İhracat;İç Ticaret;Dönemler;Klasik;Yüzyıllar;15.Yy;16.Yy,İstanbul,41.1292562,28.88335172,MG-73,"XV. ve XVI. Asırları Türk Asrı Yapan Değerler, 395-408",Görüntü,image/jpg,tr,,
74,bildiri.jpg,,Devlet ve Girişimciler,Digital Ottoman Studies,2009,Devlet ve Girişimciler,Bildiri;Ticaret;Girişimcilik;Devlet,Konya,37.89835968,32.49418867,MG-74,"Abdullah Ecevit Öksüz ed., Anadolu’da Girişimcilik Kültürü Sempozyumu Tebliğ Kitabı",Görüntü,image/jpg,tr,,
75,bildiri.jpg,,Entreprises d'état et Attitude Politique dans l'Industrie Ottomane au XVIIIe Siècle,Digital Ottoman Studies,1987,Entreprises d'état et Attitude Politique dans l'Industrie Ottomane au XVIIIe Siècle,Bildiri;İktisat;Sanayii;Ticaret;Girişimcilik;Yüzyıllar;18.Yy,,,,MG-75,"l' Accession de la Turquie à la Civilisation Indusrielle, Facteurs Internes. Actes du Colloque d'Istanbul, (2-4 December 1985), Editions ISIS, İstanbul-Paris, 5-12.",Görüntü,image/jpg,fr,http://www.theisispress.org,
76,bildiri.jpg,,Türkiye’de İktisadî Modernleşme Sürecine,Digital Ottoman Studies,2001,Türkiye’de İktisadî Modernleşme Sürecine,Bildiri;İktisat;İktisadi Modernleşme;Ülkeler;Türkiye,İstanbul,41.1292562,28.88335172,MG-76,"Yorum, Modernleşme, İslam Dünyası ve Türkiye, 321-327",Görüntü,image/jpg,tr,,
77,mali.pdf,,18. Yy'a Ait Osmanlı Mali Verilerinin İktisadi Faliyetin Göstergesi Olarak Kullanılabilirliği Üzerinde Bir Çalışma ,Digital Ottoman Studies,1980,18. Yy'a Ait Osmanlı Mali Verilerinin İktisadi Faliyetin Göstergesi Olarak Kullanılabilirliği Üzerinde Bir Çalışma ,Bildiri;İktisat;İktisadi Faaliyet;Maliye;Yüzyıllar;18.Yy,,,,MG-77,278-315,Döküman,application/pdf,gre,https://www.academia.edu/7838692/18_yya_Ait_Osmanlı_Mali_Verilerinin_İktisadi_Faliyetin_Göstergesi_Olarak_Kullanılabilirliği_Üzerinde_Bir_Çalışma_In_Greek_,
78,selim.jpg,,III. Selim’e Sunulan Layihalar Üzerine Düşünceler,Digital Ottoman Studies,2008-12-22,III. Selim’e Sunulan Layihalar Üzerine Düşünceler,Bildiri;Devlet;Bürokrasi;Kişiler;III. Selim;Tarihçilik;Kaynaklar;Yüzyıllar;18.Yy;19.Yy,"İstanbul,Altunizade;İSAM",41.02595399,29.03907871,MG-78,"Nizam-ı Kadim’den Nizam-ı Cedid’e: Ölümünün 200. Yılında III. Selim ve Dönemi Uluslararası Sempozyumu, İSAM",Görüntü,image/jpg,tr,http://www.isam.org.tr,
79,seminer.jpg,,1860’larda Osmanlı Sanayisinin Problemleri ve Islah-ı Sanayi Komisyonu,Digital Ottoman Studies,1980,1860’larda Osmanlı Sanayisinin Problemleri ve Islah-ı Sanayi Komisyonu,Seminer;İktisat;Sanayii;Yüzyıllar;19.Yy,"İstanbul,Fatih;İstanbul Üniversitesi;Ziraat Bankası",41.01005056,28.96054028,MG-79,"İstanbul Üniversitesi, Siyasal Bilgiler Fakültesi ve Ziraat Bankası, Mithat Paşa Semineri",Görüntü,image/jpg,tr,https://www.istanbul.edu.tr/tr/_,
80,seminer.jpg,,Osmanlı İmparatorluğunda 1700-1850 Arasında Sanayileşme Politikası ve Dış Ticaret,Digital Ottoman Studies,1981,Osmanlı İmparatorluğunda 1700-1850 Arasında Sanayileşme Politikası ve Dış Ticaret,Seminer;İktisat;Sanayii;Sanayii Politikası;Ticaret;İhracat;Yüzyıllar;18.Yy;19.Yy,"İstanbul,Bebek;Boğaziçi Üniversitesi",41.08477323,29.05092188,MG-80,"Boğaziçi Üniversitesi, Sanayileşme ve Dış Ticaret Semineri",Görüntü,image/jpg,tr,http://www.boun.edu.tr,
81,seminer.jpg,,Türkiye İktisat Tarihinde Tanzimatın Yeri,Digital Ottoman Studies,1984,Türkiye İktisat Tarihinde Tanzimatın Yeri,Seminer;Tarihçilik;İktisat Tarihçiliği;Tanzimat;Ülkeler;Türkiye,"İstanbul,Fatih;İstanbul Üniversitesi",41.01005056,28.96054028,MG-81,"İstanbul Üniversitesi, Siyasal Bilgiler Fakültesi, Tanzimat Semineri",Görüntü,image/jpg,tr,https://www.istanbul.edu.tr/tr/_,
82,seminer.jpg,,Osmanlı İktisadi ve Sosyal Tarihinin Kaynağı Olarak Özel Muhasebe Defterleri,Digital Ottoman Studies,1996,Osmanlı İktisadi ve Sosyal Tarihinin Kaynağı Olarak Özel Muhasebe Defterleri,Seminer;Tarihçilik;İktisat Tarihçiliği;Kaynaklar;Arşiv,"İstanbul,Fatih;İstanbul Üniversitesi",41.01005056,28.96054028,MG-82,"İstanbul Üniversitesi Edebiyat Fakültesi, Türk Tarihinin Kaynakları Semineri",Görüntü,image/jpg,tr,https://www.istanbul.edu.tr/tr/_,
83,seminer.jpg,,İktisat Tarihi Araştırmaları için Osmanlı Arşivi’nin Değeri,Digital Ottoman Studies,1996-11-13,İktisat Tarihi Araştırmaları için Osmanlı Arşivi’nin Değeri,Seminer;Tarihçilik;İktisat Tarihçiliği;Kaynaklar;Arşiv,İstanbul,41.1292562,28.88335172,MG-83,Tarih Vakfı Arşiv Semineri,Görüntü,image/jpg,tr,https://tarihvakfi.org.tr,
84,seminer.jpg,,Osmanlı Maliyesinde Malikâne Sistemi,Digital Ottoman Studies,1973-07-08,Osmanlı Maliyesinde Malikâne Sistemi,Seminer;İktisat;İktisadi Sistem;Maliye,"Ankara,Çankaya;Hacettepe Üniversitesi",39.87094089,32.73469016,MG-84,"Hacettepe Üniversitesi, Türkiye İktisat Tarihi Semineri, Metinler/Tartışmalar",Görüntü,image/jpg,tr,https://www.hacettepe.edu.tr,
85,seminer.jpg,,19. Yüzyılın Ortalarında Osmanlı İktisat Politikasında Himayeci Gümrük Telakkisinin Doğuşu,Digital Ottoman Studies,1977,19. Yüzyılın Ortalarında Osmanlı İktisat Politikasında Himayeci Gümrük Telakkisinin Doğuşu,Seminer;İktisat;İktisadi Politika;Maliye;Vergi;Dönemler;Modern;Yüzyıllar;19.Yy,"Ankara,Çankaya;Hacettepe Üniversitesi",39.87094089,32.73469016,MG-85,"Hacettepe Üniversitesi, Uluslararası Türkiye İktisadi ve Sosyal Tarih Semineri",Görüntü,image/jpg,tr,https://www.hacettepe.edu.tr,
86,seminer.jpg,,Osmanlı İktisadi Sisteminde Esnaf Loncalarının Fonksiyonu,Digital Ottoman Studies,2002-05-09,Osmanlı İktisadi Sisteminde Esnaf Loncalarının Fonksiyonu,Seminer;İktisat;İktisadi Sistem;Ticaret;Esnaf,"İstanbul,Fatih;İstanbul Üniversitesi",41.01005056,28.96054028,MG-86,"İstanbul Üniversitesi, seminer",Görüntü,image/jpg,tr,https://www.istanbul.edu.tr/tr/_,
87,seminer.jpg,,Osmanlı İktisat Tarihi Üzerine 6 seminer,Digital Ottoman Studies,2002-07-22,Osmanlı İktisat Tarihi Üzerine 6 seminer,Seminer;Tarihçilik;İktisat Tarihçiliği,"Çanakkale,Adatepe;İstanbul Bilgi Üniversitesi",40.14576412,26.39967725,MG-87,İstanbul Bilgi Üniversitesi,Görüntü,image/jpg,tr,https://www.bilgi.edu.tr,
88,seminer.jpg,,Osmanlı’da Toplum ve Ekonomi Semineri,Digital Ottoman Studies,,Osmanlı’da Toplum ve Ekonomi Semineri,Seminer;Ekonomi;Toplum,"Yalova,Armutlu",40.51980708,28.82752876,MG-88,"Yalova, Armutlu",Görüntü,image/jpg,tr,,
89,seminer.jpg,,Osmanlı Tarihi Seminerleri,Digital Ottoman Studies,2012,Osmanlı Tarihi Seminerleri,Seminer;Tarihçilik,"İstanbul,Fatih;BİSAV",41.01677546,28.95987789,MG-89,"Bilim ve Sanat Vakfı, Osmanlı Tarihi Seminerleri 6 oturum: 30 Ekim, 5, 12, 19, 26 Kasım, 3 Aralık 2012",Görüntü,image/jpg,tr,https://www.bisav.org.tr,
90,seminer.jpg,,Osmanlı Tarihi Seminerleri,Digital Ottoman Studies,2013,Osmanlı Tarihi Seminerleri,Seminer;Tarihçilik,"İstanbul,Fatih;BİSAV",41.01677546,28.95987789,MG-90,"Bilim ve Sanat Vakfı, Osmanlı Tarihi Seminerleri 6 oturum: 3, 10, 17, 24, 31 Mart, 6 Nisan 2013",Görüntü,image/jpg,tr,https://www.bisav.org.tr,
91,konferans.jpg,,Ömer Lütfi Barkan,Digital Ottoman Studies,2010-03-18,Ömer Lütfi Barkan,Konferans;Kişiler;Ömer Lütfi Barkan,Ankara,39.9753847,32.75741589,MG-91,Cumhuriyet Döneminde Türkiye’de Tarihçilik ve Tarih Yayıncılığı Sempozyumu,Görüntü,image/jpg,tr,,
92,konferans.jpg,,Osmanlı Tarihinin Dönemlendirilmesi,Digital Ottoman Studies,1999-05-22,Osmanlı Tarihinin Dönemlendirilmesi,Konferans;Tarihçilik;Dönemlendirme,"İstanbul,Fatih;BİSAV",41.01677546,28.95987789,MG-92,Bilim ve Sanat Vakfı,Görüntü,image/jpg,tr,,
93,konferans.jpg,,İstanbul’un Demografik Yapısı 1454-2003,Digital Ottoman Studies,2003-06-06,İstanbul’un Demografik Yapısı 1454-2003,Konferans;Toplum;Demografi;Şehirler;İstanbul;Yüzyıllar;15.Yy;21.Yy,"İstanbul,Fatih;BİSAV",41.01677546,28.95987789,MG-93,"Bilim ve Sanat Vakfı, İstanbul Şehir ve Medeniyet Sempozyum",Görüntü,image/jpg,tr,https://www.bisav.org.tr,
94,konferans.jpg,,18. Yüzyıl Osmanlısında İktisat ve Siyaset,Digital Ottoman Studies,2008-05-10,18. Yüzyıl Osmanlısında İktisat ve Siyaset,Konferans;İktisat;Devlet;Siyaset;Yüzyıllar;18.Yy,"İstanbul,Fatih;BİSAV",41.01677546,28.95987789,MG-94,Bilim ve Sanat Vakfı,Görüntü,image/jpg,tr,https://www.bisav.org.tr,
95,konferans.jpg,,18. Yüzyılda Osmanlı Ekonomisinde Değişmeler,Digital Ottoman Studies,1983-12-15,18. Yüzyılda Osmanlı Ekonomisinde Değişmeler,Konferans;İktisat;Yüzyıllar;18.Yy,"Gürcistan,Tiflis",41.72103861,44.81822888,MG-95,"Academy of Seciences of Soviet Union, Oriental Institute",Görüntü,image/jpg,tr,,
96,konferans.jpg,,17-19. Yüzyıllarda Ticaret Merkezi Olarak Tokat,Digital Ottoman Studies,1986-07-02,17-19. Yüzyıllarda Ticaret Merkezi Olarak Tokat,Konferans;Ticaret;Şehirler;Tokat;Yüzyıllar;17.Yy;19.Yy,Tokat,40.32408029,36.54827912,MG-96,Türk Tarihinde ve Kültüründe Tokat Sempozyumu,Görüntü,image/jpg,tr,,
97,konferans.jpg,,18. Yüzyılda Osmanlı Limanlarında Gümrük Merkezleri,Digital Ottoman Studies,1998-04-20,18. Yüzyılda Osmanlı Limanlarında Gümrük Merkezleri,Konferans;İktisat;Maliye;Vergi;Ticaret;Yüzyıllar;18.Yy,"İstanbul,Bebek;Boğaziçi Üniversitesi",41.08477323,29.05092188,MG-97,"Boğaziçi Üniversitesi, International Symposium on the Ottoman Port Towns: Material Culture and Organization, 1600-1900",Görüntü,image/jpg,ing,http://www.boun.edu.tr,
98,konferans.jpg,,Osmanlı Ekonomisinde Müteşebbis,Digital Ottoman Studies,2007,Osmanlı Ekonomisinde Müteşebbis,Konferans;İktisat;Girişimcilik;Müteşebis,Konya;İttifak Holding,37.87293443,32.49411084,MG-98,İttifak Holding,Görüntü,image/jpg,tr,https://www.ittifak.com.tr,
99,konferans.jpg,,Malikâne-Divani Sistemi,Digital Ottoman Studies,2003-05-16,Malikâne-Divani Sistemi,Konferans;İktisat;Maliye;Vergi,"İstanbul,Bebek;Boğaziçi Üniversitesi",41.08477323,29.05092188,MG-99,Boğaziçi Üniversitesi,Görüntü,image/jpg,tr,http://www.boun.edu.tr,
100,konferans.jpg,,Osmanlı Sisteminin Ayırıcı Vasıfları Üzerine,Digital Ottoman Studies,2007-05-23,Osmanlı Sisteminin Ayırıcı Vasıfları Üzerine,Konferans,"İstanbul,Bebek;Boğaziçi Üniversitesi",41.08477323,29.05092188,MG-100,Boğaziçi Üniversitesi,Görüntü,image/jpg,tr,http://www.boun.edu.tr,
101,konferans.jpg,,Kültür ve Kalkınma,Digital Ottoman Studies,1990-01-13,Kültür ve Kalkınma,Konferans;Kalkınma;Kültür,İstanbul,41.1292562,28.88335172,MG-101,"Türkiye Mimar ve Mühendis Odalar Birliği, Kalkınma Kültür ve Demokrasi Sempozyumu",Görüntü,image/jpg,tr,http://www.tmmob.org.tr,
102,konferans.jpg,,Coğrafi Keşiflerin İstanbul’dan Görünüşü,Digital Ottoman Studies,1992-10-12,Coğrafi Keşiflerin İstanbul’dan Görünüşü,Konferans;Coğrafi Keşifler;Şehirler;İstanbul,"İstanbul,Fatih;İstanbul Üniversitesi",41.01005056,28.96054028,MG-102,"İstanbul Üniversitesi, Edebiyat Fakültesi Sosyoloji Bölümü, Amerika’nın Keşfinin 500. Yılı Toplantıları",Görüntü,image/jpg,tr,https://www.istanbul.edu.tr/tr/_,
103,konferans.jpg,,Şeref Doktorası Tevcihinde Yapılan Konuşma,Digital Ottoman Studies,1996-02-08,Şeref Doktorası Tevcihinde Yapılan Konuşma,Konferans;Şeref Doktorası,"İstanbul,Fatih;İstanbul Üniversitesi",41.01005056,28.96054028,MG-103,"İstanbul Üniversitesi, Edebiyat Fakültesi ",Görüntü,image/jpg,tr,https://www.istanbul.edu.tr/tr/_,
104,konferans.jpg,,Osmanlı İktisadi Dünya Görüşünün Klasik İlkeleri ve Temel Değerleri,Digital Ottoman Studies,1992,Osmanlı İktisadi Dünya Görüşünün Klasik İlkeleri ve Temel Değerleri,Konferans;İktisat;İktisadi Düşünce,İstanbul,41.1292562,28.88335172,MG-104,Birlik Vakfı,Görüntü,image/jpg,tr,https://www.birlikvakfi.org.tr,
105,konferans.jpg,,"Osmanlı’da Zanaat, Ahlak, İktisat İlişkisi",Digital Ottoman Studies,1994,"Osmanlı’da Zanaat, Ahlak, İktisat İlişkisi",Konferans;İktisat;İktisadi Düşünce;Ticaret;Zanaat,İstanbul,41.1292562,28.88335172,MG-105,"Yapı Kredi Kültür Merkezi Salı Toplantıları, Kültür Mirası",Görüntü,image/jpg,tr,https://sanat.ykykultur.com.tr/etkinlikler#,
106,konferans.jpg,,Osmanlı Tarihi Araştırmalarının Bugünkü Durumu,Digital Ottoman Studies,1999-02-10,Osmanlı Tarihi Araştırmalarının Bugünkü Durumu,Konferans;Tarihçilik,İstanbul,41.1292562,28.88335172,MG-106,İstanbul Üniversitesi Edebiyat Fakültesi Sosyoloji Bölümü,Görüntü,image/jpg,tr,https://www.istanbul.edu.tr/tr/_,
107,konferans.jpg,,Osmanlı Devleti ve Modern İktisadi Büyüme,Digital Ottoman Studies,2001-12-28,Osmanlı Devleti ve Modern İktisadi Büyüme,Konferans;İktisat;Kalkınma;İktisadi Büyüme;Dönemler;Modern,"İstanbul,Altunizade;İSAM",41.02595399,29.03907871,MG-107,İSAM,Görüntü,image/jpg,tr,http://www.isam.org.tr,
108,konferans.jpg,,Osmanlı Tarihçiliğinin Bugünkü Meseleleri,Digital Ottoman Studies,2004-05-26,Osmanlı Tarihçiliğinin Bugünkü Meseleleri,Konferans;Tarihçilik,"İstanbul,Altunizade;İSAM",41.02595399,29.03907871,MG-108,İSAM,Görüntü,image/jpg,tr,http://www.isam.org.tr,
109,konferans.jpg,,Osmanlı İktisadi ve Sosyal Tarih Çalışmalarının Değerlendirilmesi,Digital Ottoman Studies,2001-02-24,Osmanlı İktisadi ve Sosyal Tarih Çalışmalarının Değerlendirilmesi,Konferans;Tarihçilik;İktisat Tarihçiliği;Sosyal Tarih,"İstanbul,Altunizade;İSAM",41.02595399,29.03907871,MG-109,İSAM,Görüntü,image/jpg,tr,http://www.isam.org.tr,
110,konferans.jpg,,Osmanlı Devletini Uzun Ömürlü Kılan Sebepler IV: Mali Yapısının Özellikleri,Digital Ottoman Studies,2011-05-31,Osmanlı Devletini Uzun Ömürlü Kılan Sebepler IV: Mali Yapısının Özellikleri,Konferans;İktisat;Maliye;Mali Yapı,"İstanbul,Altunizade;Altunizade Kültür Merkezi",41.01822121,29.04086105,MG-110,Altunizade Kültür Merkezi,Görüntü,image/jpg,tr,https://www.uskudar.bel.tr/tr/main/pages/altunizade-kultur-ve-sanat-merkezi/85,
111,konferans.jpg,,Osmanlı Devletini Uzun Ömürlü Kılan Faktörler V: İktisadi Yapı Özellikleri,Digital Ottoman Studies,2011-10-20,Osmanlı Devletini Uzun Ömürlü Kılan Faktörler V: İktisadi Yapı Özellikleri,Konferans;İktisat;İktisadi Yapı,"İstanbul,Altunizade;Altunizade Kültür Merkezi",41.01822121,29.04086105,MG-111,Altunizade Kültür Merkezi,Görüntü,image/jpg,tr,https://www.uskudar.bel.tr/tr/main/pages/altunizade-kultur-ve-sanat-merkezi/85,
112,konferans.jpg,,Osmanlı Devletini Uzun Ömürlü Kılan Faktörler VI: İletişimin Örgütlenmesi,Digital Ottoman Studies,2011-11-17,Osmanlı Devletini Uzun Ömürlü Kılan Faktörler VI: İletişimin Örgütlenmesi,Konferans;İletişim,"İstanbul,Altunizade;Altunizade Kültür Merkezi",41.01822121,29.04086105,MG-112,Altunizade Kültür Merkezi,Görüntü,image/jpg,tr,https://www.uskudar.bel.tr/tr/main/pages/altunizade-kultur-ve-sanat-merkezi/85,
113,konferans.jpg,,Osmanlı Sanayii,Digital Ottoman Studies,2011-01-14,Osmanlı Sanayii,Konferans;İktisat;Sanayii,"İstanbul,Altunizade;Altunizade Kültür Merkezi",41.01822121,29.04086105,MG-113,Altunizade Kültür Merkezi,Görüntü,image/jpg,tr,https://www.uskudar.bel.tr/tr/main/pages/altunizade-kultur-ve-sanat-merkezi/85,
114,konferans.jpg,,Osmanlı Devletini Uzun Ömürlü Kılan Faktörler I: Giriş,Digital Ottoman Studies,2011-02-11,Osmanlı Devletini Uzun Ömürlü Kılan Faktörler I: Giriş,Konferans,"İstanbul,Altunizade;Altunizade Kültür Merkezi",41.01822121,29.04086105,MG-114,Altunizade Kültür Merkezi,Görüntü,image/jpg,tr,https://www.uskudar.bel.tr/tr/main/pages/altunizade-kultur-ve-sanat-merkezi/85,
115,konferans.jpg,,Osmanlı Devletini Uzun Ömürlü Kılan Faktörler II: Siyasi Yapısının Özellikleri,Digital Ottoman Studies,2011-03-11,Osmanlı Devletini Uzun Ömürlü Kılan Faktörler II: Siyasi Yapısının Özellikleri,Konferans;Devlet;Siyaset,"İstanbul,Altunizade;Altunizade Kültür Merkezi",41.01822121,29.04086105,MG-115,Altunizade Kültür Merkezi,Görüntü,image/jpg,tr,https://www.uskudar.bel.tr/tr/main/pages/altunizade-kultur-ve-sanat-merkezi/85,
116,konferans.jpg,,Osmanlı Devleti’ni Uzun Ömürlü Kılan Faktörler III: Bürokrasisinin Organizasyonel Yapısı,Digital Ottoman Studies,2011-04-14,Osmanlı Devleti’ni Uzun Ömürlü Kılan Faktörler III: Bürokrasisinin Organizasyonel Yapısı,Konferans;Devlet;Bürokrasi;Bürokratik Yapı,"İstanbul,Altunizade;Altunizade Kültür Merkezi",41.01822121,29.04086105,MG-116,Altunizade Kültür Merkezi,Görüntü,image/jpg,tr,https://www.uskudar.bel.tr/tr/main/pages/altunizade-kultur-ve-sanat-merkezi/85,
117,konferans.jpg,,1800’de Osmanlı İmparatorluğunun Genel Durumu,Digital Ottoman Studies,2001-03-16,1800’de Osmanlı İmparatorluğunun Genel Durumu,Konferans;Yüzyıllar;18.Yy,"İstanbul,Tuzla;Sabancı Üniversitesi",40.88877675,29.37419743,MG-117,Sabancı Üniversitesi,Görüntü,image/jpg,tr,https://www.sabanciuniv.edu/tr,
118,konferans.jpg,,Osmanlı İltizam Rejimi ve Değişmeleri,Digital Ottoman Studies,2000-12-13,Osmanlı İltizam Rejimi ve Değişmeleri,Konferans;İktisat;Maliye;Vergi;Değişim,İstanbul,41.1292562,28.88335172,MG-118,Osmanlı Bankası Araştırma Merkezi,Görüntü,image/jpg,tr,,
119,konferans.jpg,,Onsekizinci Yüzyılda Osmanlı İmparatorluğunun İktisadi Durumu,Digital Ottoman Studies,1992-05-11,Onsekizinci Yüzyılda Osmanlı İmparatorluğunun İktisadi Durumu,Konferans;İktisat;İktisadi Durum;Yüzyıllar;18.Yy,"Ankara,Çankaya;Bilkent Üniversitesi",39.87486848,32.74743344,MG-119,Bilkent Üniversitesi,Görüntü,image/jpg,tr,https://w3.bilkent.edu.tr/www/,
120,konferans.jpg,,Erol Güngör’ün Şahsiyeti,Digital Ottoman Studies,1996-04-24,Erol Güngör’ün Şahsiyeti,Konferans;Kişiler;Erol Güngör,İstanbul,41.1292562,28.88335172,MG-120,Türk Kültür Vakfı,Görüntü,image/jpg,tr,https://www.turkkulturvakfi.org.tr,
121,konferans.jpg,,Aydın Erol Güngör,Digital Ottoman Studies,2003-04-19,Aydın Erol Güngör,Konferans;Kişiler;Erol Güngör,İstanbul,41.1292562,28.88335172,MG-121,"Kültür Ocağı Vakfı, Örnek Bir Şahsiyet Olarak Erol Güngör",Görüntü,image/jpg,tr,http://www.kocav.org.tr,
122,konferans.jpg,,Tarihçiliği Nasıl Anlamalı,Digital Ottoman Studies,1998-02-22,Tarihçiliği Nasıl Anlamalı,Konferans;Tarihçilik,İstanbul,41.1292562,28.88335172,MG-122,Belgesel Sinemacılar Birliği,Görüntü,image/jpg,tr,http://bsb.org.tr,
123,konferans.jpg,,A Comparative Study of The Life-Term Tax Ferming Data and The Volume of Commercial and Industrial Activities in the Ottoman Empire in the Second Half of the 18th Century,Digital Ottoman Studies,1976-03-22,A Comparative Study of The Life-Term Tax Ferming Data and The Volume of Commercial and Industrial Activities in the Ottoman Empire in the Second Half of the 18th Century,Konferans;İktisat;Maliye;Vergi;Sanayii;Ticaret;Yüzyıllar;18.Yy,"Almanya,Hamburg",53.58388343,9.982977785,MG-123,"AIESEE, South Eastern European and Balkan Cities Confronting the Industrial Revolution in the Western Europe",Görüntü,image/jpg,eng,https://www.aiesee.org,
124,konferans.jpg,,18. ve 19. Yüzyıllarda Osmanlı İmparatorluğunda Sanayileşme Teşebbüsleri,Digital Ottoman Studies,1999-05-29,18. ve 19. Yüzyıllarda Osmanlı İmparatorluğunda Sanayileşme Teşebbüsleri,Konferans;İktisat;Sanayii;Yüzyıllar;18.Yy;19.Yy,İstanbul,41.1292562,28.88335172,MG-124,Türk Kültür Ocağı,Görüntü,image/jpg,tr,,
